person(xloc,yloc,rescuetime)
55,300,122
105,45,110
45,157,117
28,233,89
101,314,113
32,160,144
29,203,103
73,268,126
59,20,84
62,278,157
37,196,149
115,310,92
57,20,154
38,278,99
140,91,156
85,73,158
89,35,75
82,142,141
120,18,78
46,160,103
86,93,102
122,34,140
108,307,98
75,291,102
72,289,82
21,77,99
23,18,168
26,228,157
32,89,96
45,90,127
69,81,161
64,207,146
46,7,142
11,84,79
94,135,161
119,97,169
53,284,154
39,84,99
77,47,100
61,73,112
135,35,83
76,38,134
69,291,104
78,13,113
11,77,146
71,14,78
18,289,113
29,208,141
96,42,167
45,86,154
114,36,155
104,89,103
48,74,162
68,286,144
115,309,83
39,194,110
42,18,120
85,309,156
22,39,91
37,78,80
138,95,150
31,225,157
50,224,129
121,46,157
65,300,149
21,201,136
120,95,87
43,200,107
33,228,82
41,84,74
129,88,88
33,88,135
86,308,114
85,75,159
108,313,164
47,201,135
51,72,149
133,37,98
81,41,115
44,86,130
90,303,99
65,205,145
58,206,116
19,281,118
52,83,86
26,161,154
9,78,100
75,220,139
42,80,82
31,152,123
71,68,94
78,20,104
122,87,147
35,153,124
64,162,111
100,95,120
93,313,134
41,208,88
114,22,130
24,17,157
83,304,124
59,46,157
44,308,103
67,304,88
44,223,89
36,8,90
59,99,161
95,321,97
94,14,127
51,21,84
45,299,155
102,19,115
128,33,163
48,238,164
74,291,121
28,215,87
93,282,124
59,86,164
66,90,157
78,138,152
80,286,156
84,293,110
46,152,119
83,26,156
59,241,129
82,103,127
23,217,139
121,89,89
35,236,138
94,81,144
38,161,107
98,149,162
70,9,96
96,55,115
34,46,95
108,43,77
41,168,161
51,220,103
108,278,134
48,42,96
126,52,169
46,297,93
97,79,159
86,57,132
35,52,133
9,95,115
50,287,70
87,91,73
89,42,97
113,58,107
29,15,141
34,98,115
37,298,108
98,282,109
103,51,82
81,150,138
21,87,107
119,107,87
51,232,103
58,305,86
74,286,159
30,23,80
62,286,129
54,204,117
106,27,104
87,275,110
91,282,111
104,317,70
67,95,110
50,96,157
130,46,97
98,133,84
89,38,140
37,283,135
29,235,146
48,290,150
37,23,149
91,87,115
94,50,95
65,15,86
117,11,132
99,44,100
41,205,97
37,196,137
66,286,128
102,322,109
25,20,121
53,8,137
75,103,115
45,45,86
17,290,110
84,305,95
63,270,162
123,11,108
95,278,133
91,10,143
25,215,133
58,163,75
123,54,99
92,134,77
52,85,124
85,301,156
21,93,132
104,286,164
44,50,136
37,220,115
54,83,147
112,302,154
23,215,80
14,300,169
33,165,106
98,12,127
41,291,155
127,103,162
68,201,167
59,203,136
109,55,84
55,195,109
118,53,138
71,83,169
31,233,104
57,218,96
53,237,153
120,54,136
125,33,135
108,15,155
80,46,139
71,75,85
71,291,163
32,214,99
43,300,149
55,84,103
100,147,150
107,310,152
101,40,132
36,6,136
65,78,76
41,87,124
54,206,153
85,152,165
124,41,151
39,85,163
113,54,102
60,93,94
53,290,145
62,297,156
68,274,85
30,215,151
80,141,163
57,174,137
21,208,95
55,298,144
96,96,117
98,14,78
28,210,156
75,22,153
100,133,169
49,75,74
22,90,116
86,322,132
55,225,166
88,59,84
125,38,116
31,212,142
60,74,121
28,91,162
46,33,99
49,82,152
61,90,115
75,235,117
80,133,151
31,158,93
71,13,154
58,23,119
62,290,103
100,41,127
27,11,92
48,82,153
37,304,92
13,301,81
15,54,107
44,92,91
69,300,100
71,26,164
91,283,153
91,138,162
66,295,138
89,137,113
62,280,163
78,137,92
83,73,85
115,58,102
94,36,92
33,197,126
61,167,152
39,98,139
71,318,135
23,300,93
26,48,109
66,300,93

hospital(numambulance)
5
11
7
7
6
